"","author","median_pub_date"
"1691","macdonell a g 18951941",1938
"1692","macfall haldane 18601928",1910
"1693","macgill patrick 1890",1982
"1694","macgoye marjorie oludhe",1990
"1695","macgrath harold 18711932",1912
"1696","machen arthur 18631947",1922
"1697","macinnes colin",1970
"1698","macinnes helen 19071985",1955
"1699","mackarness henry s mrs 18261881",1854
"1700","mackay margaret mackprang 1907",1945
"1701","mackay shena",1994
"1702","macken walter 19151967",1963
"1703","mackenzie compton 18831972",1937
"1704","mackenzie henry 17451831",1818
"1705","maclaren ian 18501907",1896
"1706","maclaverty bernard",1983
"1707","maclean alistair 19221987",1963
"1708","maclennan hugh 19071990",1955
"1709","macmahon bryan 19091998",1954
"1710","macmanus seumas 18691960",1906
"1711","macnamara brinsley 18901963",1920
"1712","macnaughtan s d 1916",1911
"1713","macomber debbie",2006
"1714","macquoid katharine s 18241917",1886
"1715","madden david 1933",1976
"1716","magruder julia 18541907",1898
"1717","maher richard aumerle 18801959",1916
"1718","mahfuz najib 19112006",1990
"1719","mahvet deb 19262016",1999
"1720","mailer norman",1980
"1721","maillu david g 1939",1986
"1722","maiman jaye 1957",1996
"1723","mais roger",1974
"1724","maitland james a",1855
"1725","maitland sara 1950",1987
"1726","major charles 18561913",1908
"1727","major clarence",1988
"1728","malamud bernard",1964
"1729","malet lucas 18521931",1909
"1730","malgonkar manohar 19132010",1976
"1731","malleson lucy beatrice 18991973",1948
"1732","mallock w h 18491923",1888
"1733","malot hector 18301907",1909
"1734","malouf david 1934",1989
"1735","malraux andr 19011976",1968
"1736","maltz albert 19081985",1947
"1737","manfred frederick feikema 19121994",1962
"1738","mankowitz wolf",1978
"1739","mann heinrich 18711950",1962
"1740","mann thomas 18751955",1951
"1741","mannin ethel 19001984",1952
"1742","manning anne 18071879",1863
"1743","manning olivia",1966
"1744","mano d keith",1972
"1745","mansfield katherine 18881923",1924
"1746","mantel hilary 1952",1996
"1747","manzoni alessandro 17851873",1846
"1748","maraini dacia",1990
"1749","marchmont arthur williams 18521923",1902
"1750","markandaya kamala 19242004",1969
"1751","markson david",1989
"1752","marlitt e 18251887",1892
"1753","marlowe derek",1969
"1754","marlowe stephen 19282008",1960
"1755","marquand john p 18931960",1945
"1756","marquis don 18781937",1922
"1757","marriott charles b 1869",1908
"1758","marryat florence 18371899",1879
"1759","marryat frederick 17921848",1844
"1760","marsh ngaio 18951982",1960
"1761","marsh richard d 1915",1905
"1762","marshall archibald 18661934",1919
"1763","marshall bruce 18991987",1948
"1764","marshall edison 18941967",1934
"1765","marshall emma 18301899",1891
"1766","marshcaldwell anne 17911874",1850
"1767","marston edward",2006
"1768","martin george r r",1983
"1769","martin helen reimensnyder 18681939",1914
"1770","martin valerie 1948",1999
"1771","marvel ik 18221908",1884
"1772","masefield john 18781967",1922
"1773","mason a e w 18651948",1907
"1774","mason bobbie ann",1991
"1775","mason caroline atwater 18531939",1900
"1776","mason f van wyck 19011978",1952
"1777","masters edgar lee 18681950",1927
"1778","masters john 19141983",1967
"1779","mathers helen 18531920",1884
"1780","mathews cornelius 18171889",1848
"1781","mathews joanna h 18491901",1872
"1782","matthews brander 18521929",1896
"1783","matthews jack",1973
"1784","matthiessen peter",1986
"1785","maturin charles robert 17801824",1815
"1786","maugham robin 19161981",1972
"1787","maugham w somerset 18741965",1939
"1788","maupassant guy de 18501893",1909
"1789","maupin armistead",1989
"1790","mauriac francois 18851970",1954
"1791","maurois andre 18851967",1931
"1792","mavity nancy barr 1890",1930
"1793","maxwell w b 18661938",1919
"1794","maxwell w h 17921850",1838
"1795","maxwell william 19082000",1966
"1796","may sophie 18331906",1884
"1797","mayne william 19282010",1968
"1798","mayo william starbuck 18121895",1850
"1799","mazer harry",1981
"1800","mazza cris",1997
"1801","mcbain ed 19262005",1976
"1802","mccabe pat 1955",1996
"1803","mccaffrey anne",1992
"1804","mccall sidney",1906
"1805","mccall smith alexander 1948",2005
"1806","mccarry charles",2001
"1807","mccarter margaret hill 18601938",1913
"1808","mccarthy cormac 1933",1993
"1809","mccarthy justin 18301912",1890
"1810","mccarthy justin h 18601936",1908
"1811","mccarthy mary 19121989",1970
"1812","mccullers carson 19171967",1964
"1813","mccutcheon george barr 18661928",1910
"1814","mcdonald gregory 19372008",1988
"1815","mcelroy john 18461929",1910
"1816","mcelroy joseph",1982
"1817","mcewan ian",1991
"1818","mcfee william 18811966",1930
"1819","mcgahern john 19342006",1979
"1820","mcgarry jean",1996
"1821","mcgivern william p",1968
"1822","mcguane thomas",1986
"1823","mcinerney jay",1994
"1824","mcinerny ralph 19292010",1983
"1825","mcintosh maria j 18031878",1847
"1826","mcintyre john thomas 18711951",1914
"1827","mckay claude 18901948",1949
"1828","mckeever harriet b 18071886",1870
"1829","mckenna stephen 18881967",1922
"1830","mclaverty michael",1979
"1831","mcmurtry larry",1990
"1832","mcnab claire",1998
"1833","mcneil everett 18621929",1910
"1834","mcneile h c 18881937",1920
"1835","mcnickle darcy 19041977",1982
"1836","meade l t 18441914",1905
"1837","meader stephen w 18921977",1944
"1838","means e k 18781957",1920
"1839","means florence crannell 18911980",1950
"1840","meigs cornelia 18841973",1929
"1841","melville herman 18191891",1857
"1842","menen aubrey",1954
"1843","mercer charles e",1966
"1844","meredith george 18281909",1895
"1845","merezhkovsky dmitry sergeyevich 18651941",1905
"1846","merrick gordon",1964
"1847","merrick leonard 18641939",1914
"1848","merriman henry seton 18621903",1897
"1849","merwin samuel 18741936",1916
"1850","metalious grace",1958
"1851","mewshaw michael 1943",1979
"1852","meynell viola 18861956",1921
"1853","mhenry james 17851845",1828
"1854","michaels fern",2005
"1855","micheaux oscar 18841951",1944
"1856","michelson miriam 18701942",1906
"1857","michener james a 19071997",1984
"1858","middleton stanley 19192009",1986
"1859","miers earl schenck 19101972",1946
"1860","mighels philip verrill 18691911",1906
"1861","millar margaret 19151994",1956
"1862","miller alice duer 18741942",1920
"1863","miller henry 18911980",1966
"1864","miller joaquin 18371913",1880
"1865","miller sue 1943",1996
"1866","miller warren 19211966",1961
"1867","millhauser steven",1997
"1868","millin sarah gertrude liebson 18891968",1931
"1869","mills john d ca 1885",1847
"1870","miln louise jordan 18641933",1924
"1871","miner valerie",1989
"1872","mishima yukio 19251970",1974
"1873","misola agustin t",1988
"1874","mitchell donald grant 18221908",1889
"1875","mitchell john ames 18451918",1898
"1876","mitchell s weir 18291914",1900
"1877","mitchell w o 19141998",1982
"1878","mitchison naomi 18971999",1979
"1879","mitford bertram 18551914",1898
"1880","mitford mary russell 17871855",1837
"1881","mitford nancy 19041973",1956
"1882","mittelholzer edgar",1960
"1883","moffett cleveland 18631926",1913
"1884","moggach deborah",1995
"1885","mohr nicholasa",1986
"1886","mojtabai a g 1937",1986
"1887","molesworth mrs 18391921",1893
"1888","molinaro ursule",1990
"1889","monette paul",1989
"1890","mongo beti 19322001",1971
"1891","monsarrat nicholas 1910",1960
"1892","montague margaret prescott 18781955",1918
"1893","monteilhet hubert",1968
"1894","montgomery florence 18431923",1880
"1895","montherlant henry de 18961972",1968
"1896","montresor f f d 1934",1896
"1897","moorcock michael 1939",1977
"1898","moore brian 19211999",1975
"1899","moore christopher g",1992
"1900","moore frank frankfort 18551931",1904
"1901","moore george 18521933",1906
"1902","moore john trotwood 18581929",1910
"1903","moore stephanie perry",2007
"1904","moore susanna",1994
"1905","moore thomas 17791852",1845
"1906","moorhouse frank",1978
"1907","moravia alberto 19071990",1975
"1908","mordaunt elinor 18771942",1915
"1909","more hannah 17451833",1818
"1910","morgan charles 18941958",1936
"1911","morgan lady 17831859",1835
"1912","morgan robert 1944",1999
"1913","morier james justinian 17801849",1833
"1914","morley christopher 18901957",1925
"1915","morris edita 1902",1965
"1916","morris edwin bateman 18811971",1913
"1917","morris gouverneur 18761953",1911
"1918","morris janet 1946",1982
"1919","morris mary 1947",1989
"1920","morris william 18341896",1898
"1921","morris wright 19101998",1974
"1922","morrison arthur 18631945",1905
"1923","morrison toni",1994
"1924","morrow honore 18801940",1927
"1925","mortimer john 19232009",1990
"1926","mortimer penelope 19181999",1966
"1927","mosher howard frank",1992
"1928","mosley nicholas 19232017",1991
"1929","mosley walter",2000
"1930","mottram r h 1883",1928
"1931","moulton louise chandler 18351908",1878
"1932","mphahlele eskia 19192008",1972
"1933","muhlbach l 18141873",1888
"1934","mulford clarence edward 18831956",1920
"1935","mundy talbot 18791940",1920
"1936","munn charles clark 18481917",1906
"1937","munro alice 1931",1992
"1938","munro neil 18641930",1904
"1939","munroe kirk 18501930",1896
"1940","murakami haruki 1949",2000
"1941","murdoch iris",1974
"1942","murfree mary noailles 18501922",1899
"1943","murray david christie 18471907",1890
"1944","murray w h h 18401904",1888
"1945","musick john r 18491901",1893
"1946","mwangi meja 1948",1988
"1947","myers l h 18811944",1938
"1948","myers p hamilton 18121878",1854
"1949","nabokov vladimir vladimirovich 18991977",1974
"1950","naipaul shiva 1945",1982
"1951","naipaul v s 19322018",1975
"1952","narayan r k 19062001",1977
"1953","nares edward 17621841",1812
"1954","nason leonard hastings 1895",1928
"1955","nathan robert 18941985",1955
"1956","naumoff lawrence",1993
"1957","nava michael",1992
"1958","naylor gloria",1990
"1959","naylor phyllis reynolds",1993
"1960","neagoe peter",1960
"1961","neal john 17931876",1829
"1962","neal joseph c 18071847",1846
"1963","neale w johnson 18121893",1840
"1964","neihardt john gneisenau 18811973",1926
"1965","nemerov howard",1957
"1966","nesbit e 18581924",1906
"1967","neugeboren jay",1978
"1968","neuman b paul 1853",1912
"1969","neumann alfred 18951952",1936
"1970","nevinson henry woodd 18561941",1904
"1971","newbolt henry john sir 18621938",1910
"1972","newby p h 19181997",1952
"1973","newell c m 18211900",1883
"1974","newhouse edward 1911",1944
"1975","newman frances d 1928",1926
"1976","newte horace w c 18701949",1912
"1977","ngg wa thiongo 1938",1976
"1978","nicholson meredith 18661947",1909
"1979","nicole christopher",1973
"1980","niland darcy 19201967",1963
"1981","nin anais 19031977",1969
"1982","nisbet hume 18491921",1897
"1983","niven frederick 18781944",1924
"1984","niven larry",1977
"1985","noble annette lucile 18441932",1898
"1986","nolan jeannette covert 18961974",1949
"1987","nordhoff charles 18871947",1934
"1988","normanby constantine henry phipps marquess of 17971863",1826
"1989","norris frank 18701902",1903
"1990","norris kathleen thompson 18801966",1927
"1991","norris w e 18471925",1895
"1992","norton andre",1974
"1993","norton caroline sheridan 18081877",1851
"1994","norton roy 18691942",1913
"1995","nova craig",1982
"1996","noyes alfred 18801958",1929
"1997","nye bill 18501896",1894
"1998","nye robert",1979
"1999","oates joyce carol 1938",1984
"2000","ober frederick a 18491913",1898
"2001","obrian patrick 19142000",1991
"2002","obrien edna",1974
"2003","obrien flann 19111966",1974
"2004","obrien kate 18971974",1950
"2005","oconnor edwin",1957
"2006","oconnor frank 19031966",1957
"2007","odell scott 18981989",1971
"2008","ofaolain julia",1982
"2009","ofaolain sean 19001991",1971
"2010","oflaherty liam 18961984",1937
"2011","ogden george w 18711966",1921
"2012","ogden ruth 18531927",1898
"2013","ogilvie elisabeth 19172006",1956
"2014","ogrady standish 18461928",1901
"2015","ohara john 19051970",1962
"2016","ohiggins harvey jerrold 18761929",1914
"2017","ohnet georges 18481918",1890
"2018","okekwe promise ogochukwu",1999
"2019","okri ben",1988
"2020","old sailor 17901846",1839
"2021","oliphant laurence 18291888",1884
"2022","oliphant mrs 18281897",1878
"2023","ollivant alfred 18741927",1914
"2024","olmstead florence",1918
"2025","olsen lance 1956",2002
"2026","olson toby",1993
"2027","omotoso kole 1943",1976
"2028","onetti juan carlos 19091994",1990
"2029","onions oliver 18731961",1913
"2030","opie amelia alderson 17691853",1827
"2031","oppenheim e phillips 18661946",1913
"2032","oppenheim james 18821932",1911
"2033","optic oliver 18221897",1872
"2034","orcutt william dana 18701953",1913
"2035","orczy emmuska orczy baroness 18651947",1914
"2036","orton helen fuller 18721955",1928
"2037","orwell george 19031950",1954
"2038","osbourne lloyd 18681947",1906
"2039","ostenso martha 19001963",1933
"2040","ostrander isabel 18831924",1919
"2041","otis james 18481912",1899
"2042","ouida 18391908",1890
"2043","oxenham john 18521941",1907
"2044","oyen henry 18831921",1919
"2045","oz amos",1981
"2046","ozick cynthia",1983
"2047","packard frank l 18771942",1919
"2048","paddock a g mrs",1882
"2049","page thomas nelson 18531922",1902
"2050","pain barry 18641928",1904
"2051","paine albert bigelow 18611937",1908
"2052","paine ralph delahaye 18711925",1913
"2053","paling chris",2000
"2054","palmer c everard",1970
"2055","palmer frederick 18731958",1911
"2056","palmer lynde 18331915",1879
"2057","palmer vance 18851959",1969
"2058","palmer william 1945",1996
"2059","panova vera fedorovna 19051973",1962
"2060","pansy 18411930",1888
"2061","pardoe miss 18061862",1849
"2062","paretsky sara",1990
"2063","park ruth",1978
"2064","parker gilbert 18621932",1900
"2065","parker robert b 19322010",2000
"2066","parks tim",1993
"2067","parr louisa d 1903",1881
"2068","parrish anne 18881957",1929
"2069","parrish randall 18581923",1911
"2070","pasolini pier paolo 19221975",1992
"2071","paterson arthur 18621928",1897
"2072","paton alan",1961
"2073","patterson richard north",1995
"2074","paul elliot 18911958",1944
"2075","paulding james kirke 17781860",1837
"2076","paull margaret agnes",1858
"2077","pavese cesare",1972
"2078","payn james 18301898",1882
"2079","payne robert 19111983",1954
"2080","payne will 18651954",1903
"2081","payson howard 18791917",1911
"2082","payson william farquhar 18761939",1906
"2083","peacock thomas love 17851866",1872
"2084","pearce michael 1933",2000
"2085","peard frances mary 1835",1885
"2086","pears iain",1998
"2087","pearson t r 1956",1991
"2088","pease howard 18941974",1940
"2089","peattie elia wilkinson 18621935",1914
"2090","peck george w 18401916",1900
"2091","peck richard 19342018",1992
"2092","pedler margaret bass mrs",1929
"2093","pelletier cathie",1992
"2094","pemberton max sir 18631950",1902
"2095","pendexter hugh 1875",1926
"2096","pendleton louis 18611939",1896
"2097","penny f e d 1939",1909
"2098","perec georges 19361982",1988
"2099","peri rossi cristina 1941",1996
"2100","perrin alice 18671934",1910
"2101","perry anne",2000
"2102","perry nora 18311896",1892
"2103","pertwee roland 18851963",1922
"2104","pesetsky bette 1932",1988
"2105","peters ellis 19131995",1978
"2106","petesch natalie l m 1924",1982
"2107","petrakis harry mark",1973
"2108","peyrefitte roger",1959
"2109","peyton k m",1976
"2110","phelps elizabeth stuart 18441911",1892
"2111","philips f c 18491921",1890
"2112","phillips caryl",1994
"2113","phillips david graham 18671911",1909
"2114","phillips henry wallace 18691930",1906
"2115","phillips jayne anne 1952",1990
"2116","phillpotts eden 18621960",1915
"2117","picano felice 1944",1992
"2118","picken andrew 17881833",1834
"2119","pickering ellen d 1843",1839
"2120","pickett la salle corbell 18481931",1901
"2121","pickthall marmaduke william 18751936",1912
"2122","pidgin charles felton 18441923",1905
"2123","pier arthur stanwood 18741966",1909
"2124","piercy marge",1980
"2125","pinero arthur wing sir 18551934",1900
"2126","pinget robert",1981
"2127","plaidy jean 19061993",1976
"2128","plante david",1985
"2129","plivier theodor 18921955",1948
"2130","plomer william 19031973",1949
"2131","poe edgar allan 18091849",1849
"2132","pohl frederik",1972
"2133","poland marguerite",1986
"2134","ponsonby emily lady 18171877",1857
"2135","pool maria louise 18411898",1896
"2136","poole ernest 18801950",1923
"2137","porter anna maria 17801832",1821
"2138","porter eleanor h 18681920",1916
"2139","porter hal",1970
"2140","porter jane 17761850",1831
"2141","porter katherine anne 18901980",1961
"2142","porter linn boyd 18511916",1894
"2143","portis charles",1982
"2144","post melville davisson 18711930",1915
"2145","potok chaim",1988
"2146","potter margaret horton 18811911",1903
"2147","poverman c e 1944",1984
"2148","powell anthony 19052000",1961
"2149","powell dawn",1997
"2150","powys john cowper 18721963",1940
"2151","powys theodore francis 18751953",1930
"2152","praed campbell mrs 18511935",1894
"2153","pratt theodore 19011969",1946
"2154","prentiss e 18181878",1874
"2155","prest thomas peckett",1851
"2156","price reynolds 19332011",1990
"2157","price richard 1949",1988
"2158","prichard katharine susannah 18841969",1956
"2159","priestley j b 18941984",1954
"2160","pritchett v s 19001997",1978
"2161","procter maurice",1960
"2162","prokosch frederic 19081989",1962
"2163","pronzini bill",1981
"2164","prose francine 1947",1983
"2165","proulx annie",1996
"2166","proust marcel 18711922",1930
"2167","prouty olive higgins 18821974",1931
"2168","pryce richard 18641942",1913
"2169","pryde anthony",1921
"2170","pugh edwin 18741930",1909
"2171","puig manuel",1982
"2172","pullman philip 1946",1994
"2173","purdy james 19142009",1975
"2174","putnam nina wilcox 18881962",1918
"2175","puzo mario 19201999",1988
"2176","pyle howard 18531911",1904
"2177","pym barbara",1979
"2178","pynchon thomas",1973
"2179","queen ellery",1942
"2180","queneau raymond 19031976",1987
"2181","quick amanda",1999
"2182","quick herbert 18611925",1911
"2183","quillercouch arthur 18631944",1907
"2184","radcliffe ann ward 17641823",1826
"2185","raine william macleod 18711954",1922
"2186","rand edward a 18371903",1894
"2187","rankin carroll watson 1870",1927
"2188","ransome arthur 18841967",1931
"2189","raphael frederic 1931",1976
"2190","rath e j",1919
"2191","rathborne st george 1854",1897
"2192","raven simon 1927",1977
"2193","rawlings marjorie kinnan 18961953",1961
"2194","ray anna chapin 18651945",1905
"2195","ray francis",1998
"2196","ray satyajit 19211992",1994
"2197","raymond ernest 1888",1931
"2198","raymond walter 18521931",1897
"2199","rayner emma d 1926",1901
"2200","read miss",1982
"2201","read opie 18521939",1898
"2202","read piers paul 1941",1986
"2203","reade charles 18141884",1884
"2204","rechy john",1977
"2205","redgrove peter",1985
"2206","redmon anne",1987
"2207","reed ishmael 1938",1988
"2208","reed kit",1979
"2209","reed myrtle 18741911",1906
"2210","reeve arthur b 18801936",1915
"2211","reeve clara 17291807",1816
"2212","reid christian 18461920",1890
"2213","reid forrest 18751947",1916
"2214","reid mayne 18181883",1884
"2215","reid victor stafford 1913",1974
"2216","remarque erich maria 18981970",1965
"2217","remington frederic 18611909",1900
"2218","renault mary",1968
"2219","rendell ruth 19302015",1994
"2220","reynolds baillie mrs",1916
"2221","reynolds frederic mansel d 1850",1834
"2222","reynolds george w m 18141879",1857
"2223","rhodes eugene manlove 18691934",1924
"2224","rhys jean",1974
"2225","rice alice caldwell hegan 18701942",1910
"2226","rice anne 19412021",1993
"2227","richards david adams",1985
"2228","richards grant 18721948",1914
"2229","richards laura elizabeth howe 18501943",1900
"2230","richardson dorothy m 18731957",1921
"2231","richardson henry handel pseud",1971
"2232","richardson norval 18771940",1912
"2233","richler mordecai 19312001",1968
"2234","richmond grace s 18661959",1912
"2235","richter conrad 18901968",1957
"2236","riddell j h mrs 18321906",1882
"2237","rideout henry milner 18771927",1918
"2238","ridge w pett d 1930",1906
"2239","riis jacob a 18491914",1914
"2240","rinehart mary roberts 18761958",1918
"2241","ritchie anne thackeray 18371919",1873
"2242","rives amlie 18631945",1900
"2243","robbegrillet alain 19222008",1966
"2244","robbins tom 1932",1990
"2245","roberts charles g d sir 18601943",1902
"2246","roberts kenneth lewis 18851957",1944
"2247","roberts margaret b 1833",1864
"2248","roberts morley 18571942",1904
"2249","roberts mrs d 1813",1812
"2250","roberts nora",2002
"2251","robertson e arnot 19031961",1933
"2252","robertson morgan 18611915",1902
"2253","robins elizabeth 18621952",1908
"2254","robinson emma 18141890",1850
"2255","robinson f w 18301901",1872
"2256","robinson j h b 1825",1862
"2257","robinson rowland evans 18331900",1897
"2258","robison mary",1988
"2259","roche arthur somers 18831935",1918
"2260","roche regina maria 17641845",1814
"2261","rockwood roy",1913
"2262","rodi robert",1995
"2263","roe a s 17981886",1861
"2264","roe edward payson 18381888",1886
"2265","roeburt john",1952
"2266","rohmer sax 18831959",1920
"2267","rolfe frederick 18601913",1908
"2268","rolland romain 18661944",1914
"2269","roltwheeler francis 18761960",1918
"2270","romains jules 18851972",1946
"2271","rooke leon",1982
"2272","rosegger peter 18431918",1904
"2273","ross albert 18511916",1894
"2274","ross clinton 18611920",1896
"2275","ross m i 1897",1940
"2276","rossner judith 19352005",1986
"2277","roth philip",1994
"2278","rothberg abraham",1968
"2279","rowcroft charles d 1856",1846
"2280","rowland henry c 18741933",1912
"2281","rowson mrs 17621824",1815
"2282","roy gabrielle 1909",1972
"2283","roy lillian elizabeth 18681932",1922
"2284","rubens bernice",1978
"2285","rudd steele 18681935",1912
"2286","ruffini giovanni 18071881",1859
"2287","rule jane",1978
"2288","rushdie salman",1995
"2289","rushing jane gilmore",1982
"2290","russell william clark 18441911",1896
"2291","russo richard 1949",1997
"2292","rutherford gay",1943
"2293","rutherford mark 18311913",1913
"2294","ryan marah ellis 18661934",1906
"2295","sabatini rafael 18751950",1922
"2296","sabin edwin l 18701952",1918
"2297","sackvillewest v 18921962",1942
"2298","sadleir michael 18881957",1921
"2299","sadlier anna t 18541932",1899
"2300","sadlier j mrs 18201903",1885
"2301","sadw nawl",1988
"2302","sagan francoise 19352004",1978
"2303","sahgal nayantara 1927",1976
"2304","saki 18701916",1926
"2305","sala george augustus 18281895",1862
"2306","salamanca j r",1971
"2307","salkey andrew",1970
"2308","saltus edgar 18551921",1895
"2309","sampson emma speed 18681947",1920
"2310","sanborn kate 18391917",1892
"2311","sanchez alex 1957",2004
"2312","sanchez thomas",1989
"2313","sand george 18041876",1888
"2314","sandel cora 18801974",1982
"2315","sanders lawrence 19201998",1996
"2316","sandford john 1944 february 23",2000
"2317","sangster margaret elizabeth munson 18381912",1903
"2318","sansom william 1912",1958
"2319","santos bienvenido n",1983
"2320","sapper 18881937",1917
"2321","saramago jose",1999
"2322","sargent lucius m 17861867",1837
"2323","sargent pamela",1982
"2324","sargeson frank",1972
"2325","sarowiwa ken 19411995",2005
"2326","saroyan william 19081981",1964
"2327","sarraute nathalie",1975
"2328","sartre jeanpaul 19051980",1966
"2329","saunders marshall 18611947",1903
"2330","savage richard 18461903",1896
"2331","savile frank",1906
"2332","savory teo",1979
"2333","sawyer ruth 18801970",1927
"2334","sayers dorothy l 18931957",1959
"2335","scargill william pitt 17871836",1828
"2336","schaefer jack 19071991",1967
"2337","schaeffer susan fromberg",1987
"2338","scheffel joseph viktor von 18261886",1890
"2339","schnitzler arthur 18621931",1918
"2340","scholefield alan",1976
"2341","schreiner olive 18551920",1897
"2342","schubin ossip 18541934",1890
"2343","schulberg budd",1976
"2344","schultz james willard 18591947",1920
"2345","schwartz lynne sharon",1989
"2346","sciascia leonardo",1987
"2347","scliar moacyr",1987
"2348","scollard clinton 18601932",1903
"2349","scott evelyn 18931963",1929
"2350","scott hugh stowell 18621903",1909
"2351","scott john reed 1869",1911
"2352","scott leroy 18751929",1916
"2353","scott michael 17891835",1836
"2354","scott paul 19201978",1974
"2355","scott walter 17711832",1831
"2356","scudder horace elisha 18381902",1880
"2357","scully w c 18551943",1897
"2358","sealsfield charles 17931864",1846
"2359","seaman augusta huiell 18791950",1918
"2360","seawell molly elliot 18601916",1903
"2361","sedgwick anne douglas 18731935",1911
"2362","sedgwick catharine maria 17891867",1841
"2363","seifert shirley b 1889",1944
"2364","seltzer charles alden 18751942",1920
"2365","selvon samuel",1975
"2366","sembne ousmane 19232007",1974
"2367","sender ramn jos 19011982",1948
"2368","serafimovich a 18631949",1956
"2369","serao matilde 18561927",1909
"2370","sergeant adeline 18511904",1894
"2371","service robert w 18741958",1914
"2372","seton anya",1954
"2373","seton ernest thompson 18601946",1911
"2374","sewell anna 18201878",1897
"2375","sewell elizabeth missing 18151906",1858
"2376","seymour beatrice kean stapleton mrs",1932
"2377","seymour gerald",2000
"2378","sharp margery 19051991",1964
"2379","sharp william 18551905",1902
"2380","sharpe t",1976
"2381","shaw irwin 19131984",1958
"2382","sheckley robert 19282005",1962
"2383","shedd george c 18771937",1918
"2384","sheehan patrick augustine 18521913",1905
"2385","sheldon charles monroe 18571946",1908
"2386","sheldon dyan",1999
"2387","sheldon georgie mrs b 1843",1899
"2388","shelley mary wollstonecraft 17971851",1826
"2389","shepard jim",1998
"2390","sheppard elizabeth sara 18301862",1862
"2391","sherman harold m 18981987",1928
"2392","sherwood margaret pollock 18641955",1904
"2393","sherwood mrs 17751851",1838
"2394","shiel m p 18651947",1907
"2395","shields carol",1990
"2396","shillaber b p 18141890",1878
"2397","sholokhov mikhail aleksandrovich 19051984",1966
"2398","shorthouse j h 18341903",1889
"2399","shreve susan",1979
"2400","shulman irving",1958
"2401","shute henry a 18561943",1911
"2402","shute nevil 18991960",1955
"2403","sidgwick alfred mrs 18541934",1915
"2404","sidgwick ethel 18771970",1916
"2405","sidhwa bapsi",1991
"2406","sidney margaret 18441924",1898
"2407","sienkiewicz henryk 18461916",1898
"2408","sigourney l h 17911865",1854
"2409","sillitoe alan",1979
"2410","silone ignazio 19001978",1962
"2411","silverberg robert",1978
"2412","simak clifford d 19041988",1977
"2413","simenon georges 19031989",1973
"2414","simms william gilmore 18061870",1856
"2415","simon claude",1975
"2416","sinclair bertrand w 18811972",1917
"2417","sinclair catherine 18001864",1852
"2418","sinclair harold 19071966",1940
"2419","sinclair may",1914
"2420","sinclair upton 18781968",1919
"2421","singer isaac bashevis 19041991",1981
"2422","singmaster elsie 18791958",1922
"2423","sitwell osbert 18921969",1945
"2424","skrmeta antonio",1989
"2425","skurzynski gloria",1988
"2426","sladen douglas brooke wheelton 18561947",1914
"2427","slaughter carolyn",1986
"2428","slaughter frank g 19082001",1958
"2429","slavitt david r 1935",1985
"2430","smart hawley 18331893",1884
"2431","smedley frank e 18181864",1861
"2432","smiley jane",1990
"2433","smith albert 18161860",1856
"2434","smith annie s swan 18591943",1904
"2435","smith arthur d howden 18871945",1919
"2436","smith c w 1940",1994
"2437","smith e e 18901965",1976
"2438","smith elizabeth oakes prince 18061893",1851
"2439","smith francis hopkinson 18381915",1906
"2440","smith horace 17791849",1830
"2441","smith iain crichton 19281998",1988
"2442","smith j f 18041890",1874
"2443","smith john talbot 18551923",1902
"2444","smith julie p d 1883",1876
"2445","smith lee 1944",1987
"2446","smith martin cruz 1942",1990
"2447","smith wilbur a",1978
"2448","snaith j c 18761936",1912
"2449","snow c p 19051980",1960
"2450","snyder zilpha keatley",1979
"2451","solzhenitsyn aleksandr isaevich 19182008",1971
"2452","somerville e  18581949",1912
"2453","sorensen virginia eggertsen 19121991",1952
"2454","sorrentino gilbert",1991
"2455","southern terry",1977
"2456","southworth emma dorothy eliza nevitte 18191899",1878
"2457","souvestre emile 18061854",1859
"2458","spark muriel",1971
"2459","spearman frank h 18591937",1907
"2460","speight t w 18301915",1875
"2461","spencer elizabeth",1984
"2462","spielberg peter",1981
"2463","spielhagen friedrich 18291911",1870
"2464","spillane mickey 19182006",1952
"2465","spinrad norman",1979
"2466","spofford harriet elizabeth prescott 18351921",1898
"2467","spring howard 18891965",1952
"2468","spyri johanna 18271901",1911
"2469","st aubyn alan",1894
"2470","stables gordon 18401910",1896
"2471","stacpoole h de vere 18631951",1911
"2472","standish burt l 18661945",1903
"2473","standish robert",1947
"2474","stapledon olaf 18861950",1963
"2475","stead c k 1932",1992
"2476","stead christina 19021983",1970
"2477","steel danielle",2000
"2478","steel flora annie webster 18471929",1900
"2479","steele wilbur daniel 18861970",1926
"2480","steen marguerite",1950
"2481","stegner wallace 19091993",1979
"2482","stein gertrude 18741946",1968
"2483","steinbeck john 19021968",1963
"2484","stephens ann s 18101886",1869
"2485","stephens james 18821950",1921
"2486","stephens robert neilson 18671906",1904
"2487","stern g b 18901973",1934
"2488","stern richard 19282013",1978
"2489","steuart john a 18611932",1900
"2490","stevenson burton egbert 18721962",1912
"2491","stevenson d e 18921973",1951
"2492","stevenson jane 1959",2002
"2493","stevenson robert louis 18501894",1905
"2494","stewart alfred w 18801947",1930
"2495","stewart charles d 18681960",1910
"2496","stewart george r 18951980",1950
"2497","stewart jane l",1914
"2498","stewart mary 19162014",1965
"2499","stewart paul 1955",2006
"2500","stimson frederic jesup 18551943",1896
